City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shahr-e babak,30.1165,55.1186,83.61,15,41,14.27,IR,23/07/22
1,mar del plata,-38.0023,-57.5575,54.09,91,100,11.5,AR,23/07/22
2,talnakh,69.4865,88.3972,62.24,96,100,5.84,RU,23/07/22
3,copala,16.65,-98.9833,88.29,60,45,7.78,MX,23/07/22
4,adamstown,-25.066,-130.1015,69.44,67,21,17.87,PN,23/07/22
5,puerto natales,-51.7236,-72.4875,28.4,87,15,4.09,CL,23/07/22
6,iskateley,67.6803,53.1512,50.99,95,100,13.82,RU,23/07/22
7,touros,-5.1989,-35.4608,77.74,78,2,15.75,BR,23/07/22
8,stanley,54.868,-1.6985,59.29,94,100,11.5,GB,23/07/22
9,ushuaia,-54.8,-68.3,25.47,97,97,1.95,AR,23/07/22
10,isafjordur,66.0755,-23.124,52.63,77,99,1.57,IS,23/07/22
11,edinburgh of the seven seas,-37.0676,-12.3116,54.99,72,26,22.59,SH,23/07/22
12,avarua,-21.2078,-159.775,73.45,94,75,19.57,CK,23/07/22
13,port-aux-francais,-49.35,70.2167,37.71,76,73,31.9,TF,23/07/22
14,constantia,44.1833,28.65,77.7,69,0,1.25,RO,23/07/22
15,west island,-12.1568,96.8225,76.98,83,75,11.5,CC,23/07/22
16,cabo san lucas,22.8909,-109.9124,97.61,52,0,5.75,MX,23/07/22
17,grytviken,-54.2811,-36.5092,18.77,70,69,10.29,GS,23/07/22
18,puerto santa,-8.9906,-78.6456,71.51,74,24,11.99,PE,23/07/22
19,ashoknagar,24.5667,77.7167,79.99,81,97,10.67,IN,23/07/22
20,iqaluit,63.7506,-68.5145,46.13,87,100,4.61,CA,23/07/22
21,taro,-8.3862,115.28,69.85,87,88,3.47,ID,23/07/22
22,kristiansund,63.1115,7.732,57.25,76,40,4.61,NO,23/07/22
23,puerto ayora,-0.7393,-90.3518,87.76,74,37,9.51,EC,23/07/22
24,blackmans bay,-43.0167,147.3167,41.52,92,42,3.06,AU,23/07/22
25,banda aceh,5.5577,95.3222,80.85,68,99,12.59,ID,23/07/22
26,sona,45.4388,10.8255,74.75,83,0,4.61,IT,23/07/22
27,azemmour,33.2895,-8.3425,70.66,74,1,11.92,MA,23/07/22
28,mitu,1.1983,-70.1733,79.56,77,74,1.3,CO,23/07/22
29,jayapura,-2.5333,140.7,76.39,90,82,3.04,ID,23/07/22
30,humberto de campos,-2.5983,-43.4611,78.73,71,46,6.55,BR,23/07/22
31,albany,42.6001,-73.9662,83.17,47,0,1.99,US,23/07/22
32,enewetak,11.3474,162.3373,82.85,78,76,15.7,MH,23/07/22
33,san patricio,28.017,-97.5169,103.15,37,27,17.58,US,23/07/22
34,waitangi,-43.9535,-176.5597,51.82,96,100,7.0,NZ,23/07/22
35,qaqortoq,60.7167,-46.0333,51.1,72,100,2.42,GL,23/07/22
36,aykhal,66.0,111.5,66.92,55,16,9.19,RU,23/07/22
37,saveh,35.0213,50.3566,88.61,24,23,9.33,IR,23/07/22
38,olonkinbyen,70.9221,-8.7187,43.0,77,100,5.84,SJ,23/07/22
39,port elizabeth,-33.918,25.5701,50.09,78,0,7.67,ZA,23/07/22
40,pechora,65.1472,57.2244,56.84,96,31,5.08,RU,23/07/22
41,lompoc,34.6391,-120.4579,95.77,77,75,8.05,US,23/07/22
42,longyearbyen,78.2186,15.6401,48.04,71,40,6.91,SJ,23/07/22
43,san juan,-31.5375,-68.5364,61.81,34,63,17.18,AR,23/07/22
44,thompson,55.7435,-97.8558,68.4,35,10,9.93,CA,23/07/22
45,hasaki,35.7333,140.8333,76.3,81,86,5.12,JP,23/07/22
46,udachny,66.4167,112.4,68.81,52,8,8.1,RU,23/07/22
47,gordonvale,-17.0936,145.7842,64.18,99,10,3.36,AU,23/07/22
48,miyang,24.4042,103.4428,65.25,97,90,2.1,CN,23/07/22
49,kodiak,57.79,-152.4072,51.31,87,0,6.91,US,23/07/22
50,borgarnes,64.5383,-21.9206,57.81,78,87,4.05,IS,23/07/22
51,mahina,-17.5065,-149.489,80.37,61,20,11.5,PF,23/07/22
52,hotan,37.0997,79.9269,86.31,21,100,5.23,CN,23/07/22
53,chingirlau,51.095,54.0814,64.63,68,46,6.46,KZ,23/07/22
54,pascagoula,30.3658,-88.5561,96.85,67,20,9.22,US,23/07/22
55,paramonga,-10.6667,-77.8333,70.07,74,31,10.98,PE,23/07/22
56,hukkyo-ri,38.7986,125.7919,74.66,97,100,8.9,KP,23/07/22
57,panaba,21.2833,-88.2667,91.36,54,88,11.54,MX,23/07/22
58,papatowai,-46.5619,169.4708,48.24,94,100,8.34,NZ,23/07/22
59,bredasdorp,-34.5322,20.0403,51.96,90,100,7.09,ZA,23/07/22
60,hamilton,39.1834,-84.5333,85.93,46,40,6.91,US,23/07/22
61,tiksi,71.6872,128.8694,46.02,73,49,13.62,RU,23/07/22
62,leninskoye,41.7589,69.3864,78.44,25,0,3.71,KZ,23/07/22
63,laojunmiao,39.8333,97.7333,68.72,30,78,2.71,CN,23/07/22
64,yellowknife,62.456,-114.3525,71.56,40,15,8.99,CA,23/07/22
65,carolina,18.3808,-65.9574,92.37,63,20,13.8,PR,23/07/22
66,mizque,-17.941,-65.3402,78.35,32,0,8.5,BO,23/07/22
67,afaahiti,-17.75,-149.2833,78.67,65,78,8.86,PF,23/07/22
68,acarau,-2.8856,-40.12,79.12,75,10,17.07,BR,23/07/22
69,boende,-0.2167,20.8667,75.29,86,89,3.87,CD,23/07/22
70,vilyuchinsk,52.9306,158.4028,61.07,74,96,6.53,RU,23/07/22
71,ust-nera,64.5667,143.2,54.75,82,91,3.31,RU,23/07/22
72,santiago de cao,-7.9589,-79.2392,73.53,78,1,9.22,PE,23/07/22
73,argo,37.6333,22.7333,82.78,33,0,3.31,GR,23/07/22
74,saipan,15.1355,145.701,81.64,100,75,10.0,MP,23/07/22
75,sitka,57.0531,-135.33,62.49,77,100,6.91,US,23/07/22
76,kurumkan,54.3,110.3,60.15,62,11,3.6,RU,23/07/22
77,wailua homesteads,22.0669,-159.378,79.59,87,100,10.36,US,23/07/22
